iter	Passed	Remaining
390	1602	2495
391	1605	2490
392	1609	2485
393	1612	2480
394	1616	2475
395	1619	2470
396	1622	2465
397	1626	2459
398	1629	2454
399	1632	2449
400	1635	2443
401	1639	2438
402	1642	2433
403	1646	2428
404	1649	2423
405	1653	2418
406	1656	2413
407	1659	2408
408	1663	2403
409	1666	2398
410	1671	2395
411	1675	2390
412	1678	2385
413	1682	2380
414	1685	2375
415	1688	2370
416	1692	2366
417	1696	2361
418	1699	2356
419	1703	2352
420	1706	2347
421	1709	2342
422	1713	2337
423	1716	2332
424	1720	2327
425	1723	2322
426	1726	2317
427	1730	2312
428	1733	2307
429	1737	2302
430	1740	2297
431	1743	2292
432	1747	2288
433	1750	2283
434	1757	2282
435	1761	2278
436	1768	2278
437	1773	2276
438	1777	2271
439	1781	2267
440	1784	2262
441	1789	2259
442	1793	2255
443	1797	2250
444	1800	2245
445	1804	2241
446	1807	2236
447	1810	2231
448	1814	2226
449	1817	2221
450	1821	2216
451	1824	2211
452	1827	2206
453	1831	2202
454	1834	2197
455	1838	2192
456	1841	2187
457	1844	2183
458	1848	2178
459	1851	2173
460	1854	2168
461	1858	2163
462	1861	2159
463	1864	2154
464	1868	2149
465	1872	2145
466	1877	2143
467	1881	2138
468	1884	2133
469	1887	2128
470	1891	2123
471	1894	2119
472	1898	2114
473	1901	2110
474	1904	2105
475	1908	2100
476	1911	2095
477	1914	2091
478	1918	2086
479	1921	2081
480	1925	2077
481	1928	2072
482	1931	2067
483	1935	2063
484	1938	2058
485	1941	2053
486	1946	2050
487	1950	2046
488	1953	2041
489	1958	2037
490	1963	2035
491	1968	2032
492	1971	2027
493	1975	2023
494	1979	2019
495	1984	2016
496	1987	2011
497	1992	2008
498	1996	2004
499	1999	1999
500	2003	1995
501	2006	1990
502	2010	1986
503	2013	1981
504	2016	1977
505	2020	1972
506	2024	1968
507	2027	1963
508	2030	1959
509	2034	1954
510	2037	1950
511	2041	1945
512	2044	1941
513	2048	1936
514	2051	1931
515	2054	1927
516	2058	1922
517	2061	1918
518	2064	1913
519	2068	1909
520	2071	1904
521	2074	1899
522	2077	1895
523	2081	1890
524	2084	1886
525	2087	1881
526	2091	1877
527	2094	1872
528	2097	1867
529	2101	1863
530	2104	1858
531	2108	1854
532	2111	1850
533	2115	1845
534	2118	1841
535	2121	1836
536	2125	1832
537	2128	1828
538	2132	1823
539	2135	1819
540	2138	1814
541	2142	1810
542	2146	1806
543	2150	1802
544	2154	1798
545	2159	1795
546	2163	1791
547	2168	1788
548	2173	1785
549	2176	1781
550	2180	1777
551	2185	1773
552	2188	1769
553	2192	1764
554	2196	1760
555	2199	1756
556	2203	1752
557	2206	1747
558	2210	1743
559	2213	1739
560	2217	1734
561	2220	1730
562	2223	1726
563	2227	1721
564	2230	1717
565	2233	1712
566	2237	1708
567	2240	1704
568	2244	1699
569	2247	1695
570	2251	1691
571	2254	1686
572	2257	1682
573	2261	1678
574	2264	1673
575	2267	1669
576	2271	1665
577	2274	1660
578	2278	1656
579	2281	1652
580	2285	1648
581	2288	1643
582	2292	1639
583	2295	1635
584	2299	1630
585	2302	1626
586	2306	1622
587	2309	1618
588	2312	1613
589	2316	1609
590	2319	1605
591	2323	1601
592	2326	1596
593	2330	1592
594	2334	1588
595	2338	1585
596	2343	1581
597	2347	1578
598	2351	1574
599	2355	1570
600	2359	1566
601	2363	1562
602	2367	1558
603	2371	1554
604	2375	1550
605	2378	1546
606	2381	1542
607	2385	1537
608	2388	1533
609	2391	1529
610	2395	1524
611	2398	1520
612	2402	1516
613	2405	1512
614	2408	1507
615	2412	1503
616	2415	1499
617	2419	1495
618	2422	1491
619	2425	1486
620	2429	1482
621	2432	1478
622	2435	1474
623	2439	1469
624	2442	1465
625	2445	1461
626	2449	1456
627	2452	1452
628	2455	1448
629	2458	1444
630	2462	1439
631	2465	1435
632	2469	1431
633	2472	1427
634	2476	1423
635	2480	1419
636	2483	1415
637	2486	1411
638	2490	1406
639	2493	1402
640	2497	1398
641	2500	1394
642	2504	1390
643	2507	1386
644	2510	1381
645	2514	1377
646	2517	1373
647	2520	1369
648	2524	1365
649	2527	1360
650	2532	1357
651	2535	1353
652	2540	1349
653	2545	1346
654	2549	1343
655	2554	1339
656	2557	1335
657	2561	1331
658	2566	1327
659	2569	1323
660	2573	1319
661	2577	1315
662	2580	1311
663	2586	1308
664	2590	1304
665	2593	1300
666	2597	1296
667	2600	1292
668	2604	1288
669	2607	1284
670	2611	1280
671	2614	1276
672	2618	1272
673	2621	1267
674	2624	1263
675	2628	1259
676	2631	1255
677	2635	1251
678	2638	1247
679	2642	1243
680	2645	1239
681	2648	1235
682	2652	1231
683	2655	1227
684	2659	1222
685	2662	1218
686	2666	1214
687	2669	1210
688	2672	1206
689	2676	1202
690	2679	1198
691	2683	1194
692	2686	1190
693	2689	1186
694	2693	1182
695	2696	1177
696	2700	1173
697	2703	1169
698	2706	1165
699	2710	1161
700	2713	1157
701	2717	1153
702	2720	1149
703	2725	1145
704	2729	1142
705	2733	1138
706	2737	1134
707	2741	1130
708	2745	1126
709	2749	1123
710	2754	1119
711	2758	1115
712	2763	1112
713	2767	1108
714	2770	1104
715	2774	1100
716	2778	1096
717	2781	1092
718	2784	1088
719	2788	1084
720	2791	1080
721	2795	1076
722	2798	1072
723	2802	1068
724	2805	1064
725	2809	1060
726	2812	1056
727	2816	1052
728	2820	1048
729	2823	1044
730	2826	1040
731	2830	1036
732	2833	1032
733	2837	1028
734	2840	1024
735	2843	1020
736	2847	1016
737	2850	1011
738	2853	1007
739	2857	1003
740	2860	999
741	2864	995
742	2867	991
743	2871	987
744	2874	983
745	2877	979
746	2883	976
747	2887	972
748	2891	969
749	2895	965
750	2899	961
751	2904	957
752	2907	953
753	2911	950
754	2915	946
755	2920	942
756	2924	938
757	2929	935
758	2933	931
759	2938	927
760	2942	924
761	2946	920
762	2951	916
763	2956	913
764	2960	909
765	2964	905
766	2968	901
767	2973	898
768	2977	894
769	2980	890
770	2984	886
771	2987	882
772	2991	878
773	2995	874
774	2999	870
775	3003	866
776	3007	863
777	3010	859
778	3014	855
779	3018	851
780	3022	847
781	3026	843
782	3030	839
783	3033	835
784	3037	831
785	3041	827
786	3044	823
787	3049	820
788	3054	816
789	3058	812
790	3061	808
791	3065	804
792	3069	801
793	3073	797
794	3078	793
795	3083	790
796	3087	786
797	3092	782
798	3096	779
799	3101	775
800	3105	771
801	3109	767
802	3114	763
803	3118	760
804	3125	757
805	3131	753
806	3135	749
807	3141	746
808	3145	742
809	3148	738
810	3154	735
811	3160	731
812	3165	728
813	3168	724
814	3172	720
815	3175	716
816	3180	712
817	3184	708
818	3187	704
819	3191	700
820	3194	696
821	3198	692
822	3201	688
823	3205	684
824	3208	680
825	3211	676
826	3215	672
827	3218	668
828	3222	664
829	3225	660
830	3229	656
831	3232	652
832	3235	648
833	3239	644
834	3242	640
835	3246	636
836	3249	632
837	3253	628
838	3256	624
839	3259	620
840	3263	616
841	3266	612
842	3270	609
843	3273	605
844	3276	601
845	3280	597
846	3283	593
847	3287	589
848	3290	585
849	3293	581
850	3297	577
851	3300	573
852	3304	569
853	3307	565
854	3311	561
855	3316	557
856	3320	553
857	3323	550
858	3329	546
859	3333	542
860	3337	538
861	3340	534
862	3344	530
863	3348	527
864	3352	523
865	3356	519
866	3360	515
867	3363	511
868	3367	507
869	3370	503
870	3374	499
871	3377	495
872	3381	491
873	3384	487
874	3388	484
875	3391	480
876	3395	476
877	3398	472
878	3402	468
879	3405	464
880	3408	460
881	3412	456
882	3415	452
883	3419	448
884	3422	444
885	3426	440
886	3429	436
887	3432	432
888	3436	429
889	3439	425
890	3443	421
891	3446	417
892	3450	413
893	3453	409
894	3457	405
895	3460	401
896	3464	397
897	3467	393
898	3471	389
899	3474	386
900	3478	382
901	3481	378
902	3486	374
903	3491	370
904	3495	366
905	3498	363
906	3502	359
907	3505	355
908	3510	351
909	3513	347
910	3517	343
911	3521	339
912	3526	336
913	3530	332
914	3534	328
915	3538	324
916	3542	320
917	3546	316
918	3550	312
919	3554	309
920	3558	305
921	3562	301
922	3565	297
923	3569	293
924	3572	289
925	3576	285
926	3579	281
927	3583	277
928	3586	274
929	3589	270
930	3593	266
931	3596	262
932	3599	258
933	3603	254
934	3606	250
935	3609	246
936	3613	242
937	3616	239
938	3619	235
939	3622	231
940	3626	227
941	3629	223
942	3633	219
943	3636	215
944	3640	211
945	3643	207
946	3647	204
947	3650	200
948	3653	196
949	3657	192
950	3661	188
951	3664	184
952	3668	180
953	3671	177
954	3675	173
955	3678	169
956	3681	165
957	3685	161
958	3688	157
959	3692	153
960	3695	149
961	3699	146
962	3703	142
963	3706	138
964	3710	134
965	3717	130
966	3721	126
967	3725	123
968	3729	119
969	3733	115
970	3738	111
971	3741	107
972	3745	103
973	3749	100
974	3752	96
975	3756	92
976	3759	88
977	3762	84
978	3766	80
979	3769	76
980	3773	73
981	3776	69
982	3780	65
983	3783	61
984	3787	57
985	3790	53
986	3793	49
987	3797	46
988	3800	42
989	3803	38
990	3807	34
991	3810	30
992	3813	26
993	3818	23
994	3821	19
995	3825	15
996	3828	11
997	3831	7
998	3835	3
999	3838	0
